

























--:--  docr.c            All (26,0)    (Fundamental)-----------------------------------------------------
gleber@redis04:~/ann$ make
gcc -lfann -Wall docr.c -o docr
docr.c: In function 'main':
docr.c:15: warning: unused variable 'calc_out'
gcc -lfann -Wall cascade.c -o cascade
gcc -lfann -Wall docr_test.c -o docr_test
chmod +x docr docr_test cascade
gleber@redis04:~/ann$ ./docr
Creating network.
Training network.
Max epochs    10000. Desired error: 0.0199999996.
Epochs            1. Current error: 0.2620103657. Bit fail 600000.
Epochs           30. Current error: 0.1172676012. Bit fail 60000.
Epochs           60. Current error: 0.0926973522. Bit fail 60000.
Epochs           90. Current error: 0.0915872008. Bit fail 60000.
Epochs          120. Current error: 0.0915592611. Bit fail 60000.
Epochs          150. Current error: 0.0915773883. Bit fail 60000.
Epochs          180. Current error: 0.0916344374. Bit fail 60000.
Epochs          210. Current error: 0.0914981365. Bit fail 60000.
Epochs          240. Current error: 0.0915931463. Bit fail 60000.
Epochs          270. Current error: 0.0915829465. Bit fail 60000.
Epochs          300. Current error: 0.0915838256. Bit fail 60000.
Epochs          330. Current error: 0.0916251987. Bit fail 60000.
Epochs          360. Current error: 0.0915343016. Bit fail 60000.
Epochs          390. Current error: 0.0916087180. Bit fail 60000.
Epochs          420. Current error: 0.0915822461. Bit fail 60000.
Epochs          450. Current error: 0.0915912688. Bit fail 60000.
Epochs          480. Current error: 0.0916209593. Bit fail 60000.
Epochs          510. Current error: 0.0915151909. Bit fail 60000.
Epochs          540. Current error: 0.0915438533. Bit fail 60000.
Epochs          570. Current error: 0.0915718526. Bit fail 60000.
Epochs          600. Current error: 0.0915844664. Bit fail 60000.
Epochs          630. Current error: 0.0916161686. Bit fail 60000.
Epochs          660. Current error: 0.0914911404. Bit fail 60000.
Epochs          690. Current error: 0.0915354118. Bit fail 60000.
Epochs          720. Current error: 0.0915933251. Bit fail 60000.
Epochs          750. Current error: 0.0915782526. Bit fail 60000.
Epochs          780. Current error: 0.0916209146. Bit fail 60000.
Epochs          810. Current error: 0.0914821103. Bit fail 60000.
Epochs          840. Current error: 0.0915393755. Bit fail 60000.
Epochs          870. Current error: 0.0915953666. Bit fail 60000.
Epochs          900. Current error: 0.0915755033. Bit fail 60000.
Epochs          930. Current error: 0.0916248858. Bit fail 60000.
Epochs          960. Current error: 0.0914750472. Bit fail 60000.
Epochs          990. Current error: 0.0915129110. Bit fail 60000.
Epochs         1020. Current error: 0.0915891826. Bit fail 60000.
Epochs         1050. Current error: 0.0915589184. Bit fail 60000.
Epochs         1080. Current error: 0.0915766954. Bit fail 60000.
Epochs         1110. Current error: 0.0916339234. Bit fail 60000.
Epochs         1140. Current error: 0.0914973393. Bit fail 60000.
Epochs         1170. Current error: 0.0915931910. Bit fail 60000.
Epochs         1200. Current error: 0.0915829912. Bit fail 60000.
Epochs         1230. Current error: 0.0915832669. Bit fail 60000.
Epochs         1260. Current error: 0.0916253477. Bit fail 60000.
Epochs         1290. Current error: 0.0915337726. Bit fail 60000.
Epochs         1320. Current error: 0.0916098356. Bit fail 60000.
Epochs         1350. Current error: 0.0915821716. Bit fail 60000.
Epochs         1380. Current error: 0.0915922299. Bit fail 60000.
Epochs         1410. Current error: 0.0916213691. Bit fail 60000.
Epochs         1440. Current error: 0.0915150940. Bit fail 60000.
Epochs         1470. Current error: 0.0915412903. Bit fail 60000.
Epochs         1500. Current error: 0.0915723220. Bit fail 60000.
Epochs         1530. Current error: 0.0915844068. Bit fail 60000.
Epochs         1560. Current error: 0.0916165188. Bit fail 60000.
Epochs         1590. Current error: 0.0914912373. Bit fail 60000.
Epochs         1620. Current error: 0.0915348679. Bit fail 60000.
Epochs         1650. Current error: 0.0915933400. Bit fail 60000.
Epochs         1680. Current error: 0.0915780962. Bit fail 60000.
Epochs         1710. Current error: 0.0916208625. Bit fail 60000.
Epochs         1740. Current error: 0.0914816037. Bit fail 60000.
Epochs         1770. Current error: 0.0915393606. Bit fail 60000.
Epochs         1800. Current error: 0.0915958658. Bit fail 60000.
Epochs         1830. Current error: 0.0915742666. Bit fail 60000.
Epochs         1860. Current error: 0.0916237682. Bit fail 60000.
Epochs         1890. Current error: 0.0914750621. Bit fail 60000.
Epochs         1920. Current error: 0.0915129185. Bit fail 60000.
Epochs         1950. Current error: 0.0916084424. Bit fail 60000.
Epochs         1980. Current error: 0.0915839747. Bit fail 60000.
Epochs         2010. Current error: 0.0915922821. Bit fail 60000.
Epochs         2040. Current error: 0.0916370079. Bit fail 60000.
Epochs         2070. Current error: 0.0914885327. Bit fail 60000.
Epochs         2100. Current error: 0.0915935710. Bit fail 60000.
Epochs         2130. Current error: 0.0915766507. Bit fail 60000.
Epochs         2160. Current error: 0.0916114897. Bit fail 60000.
Epochs         2190. Current error: 0.0916142762. Bit fail 60000.
Epochs         2220. Current error: 0.0915183574. Bit fail 60000.
Epochs         2250. Current error: 0.0916031599. Bit fail 60000.
