











To run a command as administrator (user "root"), use "sudo <command>".
See "man sudo_root" for details.

gleber@redis04:~/ann$ ./docr 10000 150 20
Loading data...
Will write to: digits_10000ep_60000ts_4l_150hu_20hu_.net
Creating network.
Training network.
Max epochs    10000. Desired error: 0.0199999996.
Epochs            1. Current error: 0.2542875409. Bit fail 600000.
Epochs           30. Current error: 0.1022051871. Bit fail 60000.
Epochs           60. Current error: 0.0908380300. Bit fail 60000.
Epochs           90. Current error: 0.0902844220. Bit fail 60000.
Epochs          120. Current error: 0.0817188174. Bit fail 77385.
Epochs          150. Current error: 0.0844530091. Bit fail 61091.
Epochs          180. Current error: 0.0942771062. Bit fail 64748.
Epochs          210. Current error: 0.0857222825. Bit fail 64882.
Epochs          240. Current error: 0.0785528198. Bit fail 68947.
Epochs          270. Current error: 0.0777535737. Bit fail 72664.
Epochs          300. Current error: 0.0770324692. Bit fail 62588.
Epochs          330. Current error: 0.0736463740. Bit fail 54269.
Epochs          360. Current error: 0.0700242221. Bit fail 66508.
Epochs          390. Current error: 0.0680729002. Bit fail 77861.
Epochs          420. Current error: 0.0592588149. Bit fail 83945.
Epochs          450. Current error: 0.0573940575. Bit fail 74499.
Epochs          480. Current error: 0.0542558953. Bit fail 68267.
Epochs          510. Current error: 0.0524443574. Bit fail 61121.
Epochs          540. Current error: 0.0485197715. Bit fail 62360.
Epochs          570. Current error: 0.0443965010. Bit fail 57970.
Epochs          600. Current error: 0.0449978262. Bit fail 58620.
Epochs          630. Current error: 0.0380102657. Bit fail 51991.
Epochs          660. Current error: 0.0377541855. Bit fail 46966.
Epochs          690. Current error: 0.0352505147. Bit fail 46646.
Epochs          720. Current error: 0.0312677547. Bit fail 33678.
Epochs          750. Current error: 0.0328827687. Bit fail 40349.
Epochs          780. Current error: 0.0313428715. Bit fail 35513.
Epochs          810. Current error: 0.0340489000. Bit fail 41589.
Epochs          840. Current error: 0.0315295868. Bit fail 36491.
Epochs          870. Current error: 0.0527045466. Bit fail 59353.
Epochs          900. Current error: 0.0569128916. Bit fail 61229.
Epochs          930. Current error: 0.0435899645. Bit fail 52174.
Epochs          960. Current error: 0.0467267111. Bit fail 56695.
Epochs          990. Current error: 0.0500049777. Bit fail 59443.
Epochs         1020. Current error: 0.0502948165. Bit fail 61414.
Epochs         1050. Current error: 0.0490197428. Bit fail 62641.
Epochs         1080. Current error: 0.0476562828. Bit fail 59757.
Epochs         1110. Current error: 0.0436976291. Bit fail 55864.
Epochs         1140. Current error: 0.0470423549. Bit fail 54834.
Epochs         1170. Current error: 0.0474890396. Bit fail 51906.
Epochs         1200. Current error: 0.0476258919. Bit fail 57652.
Epochs         1230. Current error: 0.0427844338. Bit fail 45390.
Epochs         1260. Current error: 0.0406234972. Bit fail 42757.
Epochs         1290. Current error: 0.0410444960. Bit fail 45681.
Epochs         1320. Current error: 0.0504960380. Bit fail 63469.
Epochs         1350. Current error: 0.0644989982. Bit fail 77445.
Epochs         1380. Current error: 0.0487142205. Bit fail 56444.
Epochs         1410. Current error: 0.0611163676. Bit fail 63756.
Epochs         1440. Current error: 0.0572855808. Bit fail 65776.
Epochs         1470. Current error: 0.0568240620. Bit fail 64740.
Epochs         1500. Current error: 0.0471039116. Bit fail 49484.
Epochs         1530. Current error: 0.0419228114. Bit fail 50300.
Epochs         1560. Current error: 0.0417606048. Bit fail 51485.
Epochs         1590. Current error: 0.0412879884. Bit fail 50343.
Epochs         1620. Current error: 0.0387494266. Bit fail 42397.
Epochs         1650. Current error: 0.0383370146. Bit fail 48230.
Epochs         1680. Current error: 0.0371112823. Bit fail 44886.
Epochs         1710. Current error: 0.0350474529. Bit fail 40365.
Epochs         1740. Current error: 0.0354106277. Bit fail 43369.
Epochs         1770. Current error: 0.0372652896. Bit fail 45032.
Epochs         1800. Current error: 0.0404928029. Bit fail 46854.
Epochs         1830. Current error: 0.0404912084. Bit fail 51909.
Epochs         1860. Current error: 0.0407942235. Bit fail 49814.
Epochs         1890. Current error: 0.0409774818. Bit fail 47237.
Epochs         1920. Current error: 0.0443687141. Bit fail 54263.
Epochs         1950. Current error: 0.0536020547. Bit fail 58959.
Epochs         1980. Current error: 0.0442912355. Bit fail 50715.
Epochs         2010. Current error: 0.0396201611. Bit fail 46525.
Epochs         2040. Current error: 0.0342572182. Bit fail 39781.
Epochs         2070. Current error: 0.0321730189. Bit fail 39148.
Epochs         2100. Current error: 0.0299814772. Bit fail 34782.
Epochs         2130. Current error: 0.0285466760. Bit fail 33476.
Epochs         2160. Current error: 0.0298581962. Bit fail 35320.
Epochs         2190. Current error: 0.0401605219. Bit fail 40205.
Epochs         2220. Current error: 0.0313319676. Bit fail 34851.
Epochs         2250. Current error: 0.0355360433. Bit fail 36665.
Epochs         2280. Current error: 0.0321984179. Bit fail 36000.
Epochs         2310. Current error: 0.0364439823. Bit fail 40670.
Epochs         2340. Current error: 0.0341451205. Bit fail 38188.
Epochs         2370. Current error: 0.0408132114. Bit fail 42306.
