Loading data...
Will write to: digits_2000ep_60000ts_3l_30hu_.net
Creating network.
Training network.
Max epochs     2000. Desired error: 0.0049999999.
Epochs            1. Current error: 0.2621634007. Bit fail 600000.
Epochs           20. Current error: 0.0919553190. Bit fail 60000.
Epochs           40. Current error: 0.0916155651. Bit fail 60000.
Epochs           60. Current error: 0.0916128308. Bit fail 60000.
Epochs           80. Current error: 0.0989334360. Bit fail 64384.
Epochs          100. Current error: 0.0877911448. Bit fail 57436.
Epochs          120. Current error: 0.0921205953. Bit fail 60014.
Epochs          140. Current error: 0.0888035446. Bit fail 60003.
Epochs          160. Current error: 0.0921322852. Bit fail 60006.
Epochs          180. Current error: 0.0920196995. Bit fail 60004.
Epochs          200. Current error: 0.0916992873. Bit fail 60004.
Epochs          220. Current error: 0.0916288421. Bit fail 60004.
Epochs          240. Current error: 0.0911240503. Bit fail 59635.
Epochs          260. Current error: 0.0911076143. Bit fail 59624.
Epochs          280. Current error: 0.0910661891. Bit fail 59580.
Epochs          300. Current error: 0.0910282582. Bit fail 59562.
Epochs          320. Current error: 0.0908705518. Bit fail 59521.
Epochs          340. Current error: 0.0906402543. Bit fail 59364.
Epochs          360. Current error: 0.0903486684. Bit fail 59215.
Epochs          380. Current error: 0.0902946666. Bit fail 59188.
Epochs          400. Current error: 0.0896571949. Bit fail 58595.
Epochs          420. Current error: 0.0883365273. Bit fail 57791.
Epochs          440. Current error: 0.0875744149. Bit fail 57365.
Epochs          460. Current error: 0.0877194628. Bit fail 57405.
Epochs          480. Current error: 0.0915195569. Bit fail 59774.
Epochs          500. Current error: 0.0884423405. Bit fail 57734.
Epochs          520. Current error: 0.0871523097. Bit fail 57905.
Epochs          540. Current error: 0.0888181627. Bit fail 62470.
Epochs          560. Current error: 0.0868826285. Bit fail 58270.
Epochs          580. Current error: 0.0869592652. Bit fail 58177.
Epochs          600. Current error: 0.0869237706. Bit fail 58141.
Epochs          620. Current error: 0.0867761075. Bit fail 58043.
Epochs          640. Current error: 0.0865771696. Bit fail 57910.
Epochs          660. Current error: 0.0860134587. Bit fail 57316.
Epochs          680. Current error: 0.0852790996. Bit fail 55781.
Epochs          700. Current error: 0.0845853090. Bit fail 55306.
Epochs          720. Current error: 0.0839299113. Bit fail 55040.
Epochs          740. Current error: 0.0833069608. Bit fail 54749.
