Max epochs     5000. Desired error: 0.0199999996.
Epochs            1. Current error: 0.2611917555. Bit fail 600000.
Epochs           30. Current error: 0.1171901971. Bit fail 60000.
Epochs           60. Current error: 0.0918594599. Bit fail 60000.
Epochs           90. Current error: 0.0915882587. Bit fail 60000.
Epochs          120. Current error: 0.0916255489. Bit fail 60000.
Epochs          150. Current error: 0.0915210471. Bit fail 60000.
Epochs          180. Current error: 0.0916130915. Bit fail 60000.
Epochs          210. Current error: 0.0915603340. Bit fail 60000.
Epochs          240. Current error: 0.0915787444. Bit fail 60000.
Epochs          270. Current error: 0.0916276276. Bit fail 60000.
Epochs          300. Current error: 0.0915251002. Bit fail 60000.
Epochs          330. Current error: 0.0916103870. Bit fail 60000.
Epochs          360. Current error: 0.0915755183. Bit fail 60000.
Epochs          390. Current error: 0.0915753990. Bit fail 60000.
Epochs          420. Current error: 0.0873298422. Bit fail 67067.
Epochs          450. Current error: 0.0871688575. Bit fail 70167.
Epochs          480. Current error: 0.0883308426. Bit fail 74644.
Epochs          510. Current error: 0.0864892006. Bit fail 66262.
Epochs          540. Current error: 0.0860538483. Bit fail 63653.
Epochs          570. Current error: 0.0856951922. Bit fail 64182.
Epochs          600. Current error: 0.0859864578. Bit fail 64089.
Epochs          630. Current error: 0.0838666707. Bit fail 62976.
Epochs          660. Current error: 0.0822953582. Bit fail 57893.
Epochs          690. Current error: 0.0812404081. Bit fail 59393.
Epochs          720. Current error: 0.0806573927. Bit fail 59958.
Epochs          750. Current error: 0.0767561719. Bit fail 71472.
Epochs          780. Current error: 0.0808882117. Bit fail 93115.
Epochs          810. Current error: 0.0791585818. Bit fail 68736.
Epochs          840. Current error: 0.0765848309. Bit fail 61207.
Epochs          870. Current error: 0.0783789381. Bit fail 63805.
Epochs          900. Current error: 0.0725843087. Bit fail 68071.
Epochs          930. Current error: 0.0731649920. Bit fail 66721.
Epochs          960. Current error: 0.0731851012. Bit fail 73904.
Epochs          990. Current error: 0.0749002472. Bit fail 70771.
Epochs         1020. Current error: 0.0723735318. Bit fail 57920.
Epochs         1050. Current error: 0.0748789832. Bit fail 60503.
Epochs         1080. Current error: 0.0748799816. Bit fail 59818.
Epochs         1110. Current error: 0.0741061494. Bit fail 72658.
Epochs         1140. Current error: 0.0769651011. Bit fail 81573.
Epochs         1170. Current error: 0.0716362819. Bit fail 69284.
Epochs         1200. Current error: 0.0697715208. Bit fail 63328.
Epochs         1230. Current error: 0.0676030368. Bit fail 61642.
Epochs         1260. Current error: 0.0717186555. Bit fail 66788.
Epochs         1290. Current error: 0.0646240488. Bit fail 65261.
Epochs         1320. Current error: 0.0606365874. Bit fail 65114.
Epochs         1350. Current error: 0.0595125668. Bit fail 63542.
Epochs         1380. Current error: 0.0570919737. Bit fail 65045.
Epochs         1410. Current error: 0.0538494550. Bit fail 60122.
Epochs         1440. Current error: 0.0568083674. Bit fail 58688.
Epochs         1470. Current error: 0.0513449050. Bit fail 58863.
Epochs         1500. Current error: 0.0491722189. Bit fail 53050.
Epochs         1530. Current error: 0.0461160168. Bit fail 52715.
Epochs         1560. Current error: 0.0472482257. Bit fail 56934.
Epochs         1590. Current error: 0.0433612987. Bit fail 51319.
Epochs         1620. Current error: 0.0391321257. Bit fail 46243.
Epochs         1650. Current error: 0.0375246964. Bit fail 43202.
Epochs         1680. Current error: 0.0364232212. Bit fail 42929.
Epochs         1710. Current error: 0.0390531123. Bit fail 44023.
Epochs         1740. Current error: 0.0374238268. Bit fail 42856.
Epochs         1770. Current error: 0.0356364176. Bit fail 39758.
Epochs         1800. Current error: 0.0350040346. Bit fail 42974.
Epochs         1830. Current error: 0.0342730321. Bit fail 40019.
Epochs         1860. Current error: 0.0346290134. Bit fail 39389.
Epochs         1890. Current error: 0.0366212614. Bit fail 42562.
Epochs         1920. Current error: 0.0377168022. Bit fail 44502.
Epochs         1950. Current error: 0.0421146713. Bit fail 50899.
Epochs         1980. Current error: 0.0433101691. Bit fail 55039.
Epochs         2010. Current error: 0.0439094827. Bit fail 56464.
Epochs         2040. Current error: 0.0471617542. Bit fail 61478.
Epochs         2070. Current error: 0.0502655543. Bit fail 58122.
Epochs         2100. Current error: 0.0577992499. Bit fail 72409.
Epochs         2130. Current error: 0.0585729629. Bit fail 70934.
Epochs         2160. Current error: 0.0561838597. Bit fail 65212.
Epochs         2190. Current error: 0.0529378317. Bit fail 63185.
Epochs         2220. Current error: 0.0525630713. Bit fail 62913.
Epochs         2250. Current error: 0.0537425615. Bit fail 60973.
Epochs         2280. Current error: 0.0533122532. Bit fail 66319.
Epochs         2310. Current error: 0.0538295917. Bit fail 65525.
Epochs         2340. Current error: 0.0555055402. Bit fail 64394.
Epochs         2370. Current error: 0.0560210943. Bit fail 66695.
Epochs         2400. Current error: 0.0622702353. Bit fail 70667.
Epochs         2430. Current error: 0.0569459647. Bit fail 64806.
Epochs         2460. Current error: 0.0539265312. Bit fail 68942.
Epochs         2490. Current error: 0.0527772270. Bit fail 67208.
Epochs         2520. Current error: 0.0548056439. Bit fail 67386.
Epochs         2550. Current error: 0.0498487577. Bit fail 60443.
Epochs         2580. Current error: 0.0482032485. Bit fail 58037.
Epochs         2610. Current error: 0.0492073558. Bit fail 55778.
Epochs         2640. Current error: 0.0486952253. Bit fail 54801.
Epochs         2670. Current error: 0.0453732014. Bit fail 52089.
Epochs         2700. Current error: 0.0450720936. Bit fail 50167.
Epochs         2730. Current error: 0.0440649092. Bit fail 48668.
Epochs         2760. Current error: 0.0429043211. Bit fail 51730.
Epochs         2790. Current error: 0.0400540866. Bit fail 48783.
Epochs         2820. Current error: 0.0388272703. Bit fail 45744.
Epochs         2850. Current error: 0.0478870086. Bit fail 55055.
Epochs         2880. Current error: 0.0397308692. Bit fail 46384.
Epochs         2910. Current error: 0.0395710692. Bit fail 43879.
Epochs         2940. Current error: 0.0657775179. Bit fail 60828.
Epochs         2970. Current error: 0.0733444914. Bit fail 64658.
Epochs         3000. Current error: 0.0384664275. Bit fail 45284.
Epochs         3030. Current error: 0.0392548591. Bit fail 47028.
Epochs         3060. Current error: 0.0383227877. Bit fail 45119.
Epochs         3090. Current error: 0.0377837010. Bit fail 42792.
Epochs         3120. Current error: 0.0380926356. Bit fail 44505.
Epochs         3150. Current error: 0.0378940143. Bit fail 45967.
Epochs         3180. Current error: 0.0384552330. Bit fail 44195.
Epochs         3210. Current error: 0.0426509790. Bit fail 51483.
Epochs         3240. Current error: 0.0467660315. Bit fail 54806.
Epochs         3270. Current error: 0.0467910580. Bit fail 58993.
Epochs         3300. Current error: 0.0467388183. Bit fail 56328.
Epochs         3330. Current error: 0.0448349789. Bit fail 57165.
Epochs         3360. Current error: 0.0439097583. Bit fail 54648.
Epochs         3390. Current error: 0.0440056175. Bit fail 48729.
Epochs         3420. Current error: 0.0439069010. Bit fail 49758.
Epochs         3450. Current error: 0.0458007753. Bit fail 57714.
Epochs         3480. Current error: 0.0460123569. Bit fail 59072.
Epochs         3510. Current error: 0.0452291295. Bit fail 54656.
Epochs         3540. Current error: 0.0447954014. Bit fail 52670.
Epochs         3570. Current error: 0.0467115492. Bit fail 54562.
Epochs         3600. Current error: 0.0469283350. Bit fail 57135.
Epochs         3630. Current error: 0.0473819189. Bit fail 61851.
