
gleber@redis04:~/ann$ ./docr 7000 150 75 30
Loading data...
Will write to: digits_7000ep_60000ts_5l_150hu_75hu_30hu_.net
Creating network.
Training network.
Max epochs     7000. Desired error: 0.0199999996.
Epochs            1. Current error: 0.2563286722. Bit fail 600000.
Epochs           30. Current error: 0.0919601619. Bit fail 60000.
Epochs           60. Current error: 0.0916150063. Bit fail 60000.
Epochs           90. Current error: 0.0914551914. Bit fail 60000.
Epochs          120. Current error: 0.0916127712. Bit fail 60000.
Epochs          150. Current error: 0.0917346999. Bit fail 60000.
Epochs          180. Current error: 0.0875737220. Bit fail 68943.
Epochs          210. Current error: 0.0883538574. Bit fail 58077.
Epochs          240. Current error: 0.0882297754. Bit fail 64648.
Epochs          270. Current error: 0.0884514377. Bit fail 64360.
Epochs          300. Current error: 0.0884672776. Bit fail 63784.
Epochs          330. Current error: 0.0884409323. Bit fail 63790.
Epochs          360. Current error: 0.0888577700. Bit fail 60000.
Epochs          390. Current error: 0.0885283500. Bit fail 64377.
Epochs          420. Current error: 0.0886437222. Bit fail 64260.
Epochs          450. Current error: 0.0884153545. Bit fail 63875.
Epochs          480. Current error: 0.0884679034. Bit fail 64100.
Epochs          510. Current error: 0.0885281935. Bit fail 64135.
Epochs          540. Current error: 0.0884890482. Bit fail 64133.
Epochs          570. Current error: 0.0885771364. Bit fail 64138.
Epochs          600. Current error: 0.0884901136. Bit fail 64134.
Epochs          630. Current error: 0.0883833840. Bit fail 64134.
Epochs          660. Current error: 0.0884605646. Bit fail 64133.
Epochs          690. Current error: 0.0885012671. Bit fail 64133.
Epochs          720. Current error: 0.0886512846. Bit fail 64134.
Epochs          750. Current error: 0.0884869248. Bit fail 64151.
Epochs          780. Current error: 0.0884848759. Bit fail 64141.
Epochs          810. Current error: 0.0883863419. Bit fail 64140.
Epochs          840. Current error: 0.0885987878. Bit fail 64142.
Epochs          870. Current error: 0.0884761065. Bit fail 64160.
Epochs          900. Current error: 0.0884894282. Bit fail 64161.
Epochs          930. Current error: 0.0884639472. Bit fail 64161.
Epochs          960. Current error: 0.0886358619. Bit fail 64162.
Epochs          990. Current error: 0.0884506702. Bit fail 64156.
Epochs         1020. Current error: 0.0884741321. Bit fail 64156.
Epochs         1050. Current error: 0.0885248929. Bit fail 64167.
Epochs         1080. Current error: 0.0884737447. Bit fail 64170.
Epochs         1110. Current error: 0.0884553269. Bit fail 64173.
Epochs         1140. Current error: 0.0884771273. Bit fail 64172.
Epochs         1170. Current error: 0.0884764418. Bit fail 64151.
Epochs         1200. Current error: 0.0884758905. Bit fail 64160.
Epochs         1230. Current error: 0.0884115845. Bit fail 64160.
Epochs         1260. Current error: 0.0884323046. Bit fail 64162.
Epochs         1290. Current error: 0.0885277241. Bit fail 64176.
Epochs         1320. Current error: 0.0885841176. Bit fail 64171.
Epochs         1350. Current error: 0.0884403810. Bit fail 64175.
Epochs         1380. Current error: 0.0885261297. Bit fail 64188.
Epochs         1410. Current error: 0.0884811729. Bit fail 64185.
Epochs         1440. Current error: 0.0884371400. Bit fail 64187.
Epochs         1470. Current error: 0.0884501487. Bit fail 64213.
Epochs         1500. Current error: 0.0884510875. Bit fail 64211.
Epochs         1530. Current error: 0.0885545909. Bit fail 64211.
Epochs         1560. Current error: 0.0885203034. Bit fail 64210.
Epochs         1590. Current error: 0.0885547400. Bit fail 64211.
Epochs         1620. Current error: 0.0884468630. Bit fail 64210.
Epochs         1650. Current error: 0.0886115879. Bit fail 64214.
Epochs         1680. Current error: 0.0885682628. Bit fail 64216.
Epochs         1710. Current error: 0.0885561556. Bit fail 64215.
Epochs         1740. Current error: 0.0885713622. Bit fail 64232.
Epochs         1770. Current error: 0.0885880366. Bit fail 64220.
Epochs         1800. Current error: 0.0885569677. Bit fail 64215.
Epochs         1830. Current error: 0.0885619298. Bit fail 64230.
Epochs         1860. Current error: 0.0884885639. Bit fail 64215.
Epochs         1890. Current error: 0.0884707421. Bit fail 64213.
Epochs         1920. Current error: 0.0884606317. Bit fail 64214.
Epochs         1950. Current error: 0.0884477571. Bit fail 64218.
Epochs         1980. Current error: 0.0885909051. Bit fail 64219.
Epochs         2010. Current error: 0.0885068849. Bit fail 64218.
Epochs         2040. Current error: 0.0885597840. Bit fail 64219.
Epochs         2070. Current error: 0.0884461552. Bit fail 64218.
Epochs         2100. Current error: 0.0885128155. Bit fail 64218.
Epochs         2130. Current error: 0.0885524228. Bit fail 64218.
Epochs         2160. Current error: 0.0885669217. Bit fail 64217.
Epochs         2190. Current error: 0.0884494558. Bit fail 64217.
Epochs         2220. Current error: 0.0884726122. Bit fail 64225.
Epochs         2250. Current error: 0.0885238275. Bit fail 64235.
Epochs         2280. Current error: 0.0885382891. Bit fail 64236.
Epochs         2310. Current error: 0.0885234326. Bit fail 64232.
Epochs         2340. Current error: 0.0884951279. Bit fail 64241.
