gleber@redis04:~/ann$ ./docr 10000 150 | tee epochs_150hu.txt
Loading data...
Will write to: digits_10000ep_60000ts_3l_150hu_.net
Creating network.
Training network.
Max epochs    10000. Desired error: 0.0049999999.
Epochs            1. Current error: 0.3141129315. Bit fail 600000.
Epochs            2. Current error: 0.2258032858. Bit fail 600000.
Epochs            3. Current error: 0.2009932697. Bit fail 600000.
Epochs            4. Current error: 0.1761035621. Bit fail 600000.
Epochs            5. Current error: 0.1488324404. Bit fail 60000.
Epochs            6. Current error: 0.1268694997. Bit fail 60000.
Epochs            7. Current error: 0.1079707444. Bit fail 60000.
Epochs            8. Current error: 0.0959848911. Bit fail 60000.
Epochs            9. Current error: 0.0908864886. Bit fail 60000.
Epochs           10. Current error: 0.0918222442. Bit fail 60000.
Epochs           11. Current error: 0.0910302252. Bit fail 60000.
Epochs           12. Current error: 0.0921580940. Bit fail 60000.
Epochs           13. Current error: 0.0932195261. Bit fail 60000.
Epochs           14. Current error: 0.0932907388. Bit fail 60000.
Epochs           15. Current error: 0.0926873907. Bit fail 60000.
Epochs           16. Current error: 0.0917008221. Bit fail 60000.
Epochs           17. Current error: 0.0915550888. Bit fail 60000.
Epochs           18. Current error: 0.0920194462. Bit fail 60000.
Epochs           19. Current error: 0.0923321992. Bit fail 60000.
Epochs           20. Current error: 0.0920759887. Bit fail 60000.
Epochs           21. Current error: 0.0918806121. Bit fail 60000.
Epochs           22. Current error: 0.0915674865. Bit fail 60000.
Epochs           23. Current error: 0.0917584449. Bit fail 60000.
Epochs           24. Current error: 0.0915491730. Bit fail 60000.
Epochs           25. Current error: 0.0916120037. Bit fail 60000.
Epochs           26. Current error: 0.0913896486. Bit fail 60000.
Epochs           27. Current error: 0.0916100591. Bit fail 60000.
Epochs           28. Current error: 0.0916609690. Bit fail 60000.
Epochs           29. Current error: 0.0916620120. Bit fail 60000.
Epochs           30. Current error: 0.0917216614. Bit fail 60000.
Epochs           31. Current error: 0.0914746374. Bit fail 60000.
Epochs           32. Current error: 0.0915806815. Bit fail 60000.
Epochs           33. Current error: 0.0915084407. Bit fail 60000.
Epochs           34. Current error: 0.0915098861. Bit fail 60000.
Epochs           35. Current error: 0.0916337073. Bit fail 60000.
Epochs           36. Current error: 0.0916160569. Bit fail 60000.
Epochs           37. Current error: 0.0916121230. Bit fail 60000.
Epochs           38. Current error: 0.0914830789. Bit fail 60000.
Epochs           39. Current error: 0.0916189253. Bit fail 60000.
Epochs           40. Current error: 0.0916080475. Bit fail 60000.
Epochs           41. Current error: 0.0915956944. Bit fail 60000.
Epochs           42. Current error: 0.0916131735. Bit fail 60000.
Epochs           43. Current error: 0.0916179940. Bit fail 60000.
Epochs           44. Current error: 0.0916112140. Bit fail 60000.
Epochs           45. Current error: 0.0916099250. Bit fail 60000.
Epochs           46. Current error: 0.0916144699. Bit fail 60000.
Epochs           47. Current error: 0.0916124731. Bit fail 60000.
