Loading data...
Will write to: digits_30000ep_60000ts_3l_45hu_.net
Creating network.
Training network.
Max epochs    30000. Desired error: 0.0049999999.
Epochs            1. Current error: 0.2685580850. Bit fail 600000.
Epochs            2. Current error: 0.2260409594. Bit fail 600000.
Epochs            3. Current error: 0.2010890096. Bit fail 600000.
Epochs            4. Current error: 0.1759924889. Bit fail 600000.
Epochs            5. Current error: 0.1489943564. Bit fail 60000.
Epochs            6. Current error: 0.1270086169. Bit fail 60000.
Epochs            7. Current error: 0.1080085635. Bit fail 60000.
Epochs            8. Current error: 0.0959498808. Bit fail 60000.
Epochs            9. Current error: 0.0910491422. Bit fail 60000.
Epochs           10. Current error: 0.0915455073. Bit fail 60000.
Epochs           11. Current error: 0.0911543518. Bit fail 60000.
Epochs           12. Current error: 0.0921377316. Bit fail 60000.
Epochs           13. Current error: 0.0931452587. Bit fail 60000.
Epochs           14. Current error: 0.0938676447. Bit fail 60000.
Epochs           15. Current error: 0.0926908851. Bit fail 60000.
Epochs           16. Current error: 0.0916578695. Bit fail 60000.
Epochs           17. Current error: 0.0915693492. Bit fail 60000.
Epochs           18. Current error: 0.0920412764. Bit fail 60000.
Epochs           19. Current error: 0.0922753289. Bit fail 60000.
Epochs           20. Current error: 0.0919360593. Bit fail 60000.
Epochs           21. Current error: 0.0918769017. Bit fail 60000.
Epochs           22. Current error: 0.0914586037. Bit fail 60000.
Epochs           23. Current error: 0.0916521102. Bit fail 60000.
Epochs           24. Current error: 0.0916327983. Bit fail 60000.
Epochs           25. Current error: 0.0916460380. Bit fail 60000.
Epochs           26. Current error: 0.0915124640. Bit fail 60000.
Epochs           27. Current error: 0.0916605890. Bit fail 60000.
Epochs           28. Current error: 0.0915378928. Bit fail 60000.
Epochs           29. Current error: 0.0915855318. Bit fail 60000.
Epochs           30. Current error: 0.0916951671. Bit fail 60000.
Epochs           31. Current error: 0.0915839747. Bit fail 60000.
Epochs           32. Current error: 0.0914866701. Bit fail 60000.
Epochs           33. Current error: 0.0914405882. Bit fail 60000.
Epochs           34. Current error: 0.0916234329. Bit fail 60000.
Epochs           35. Current error: 0.0916346386. Bit fail 60000.
Epochs           36. Current error: 0.0915684924. Bit fail 60000.
Epochs           37. Current error: 0.0916030258. Bit fail 60000.
Epochs           38. Current error: 0.0915905088. Bit fail 60000.
Epochs           39. Current error: 0.0916201025. Bit fail 60000.
Epochs           40. Current error: 0.0916192234. Bit fail 60000.
Epochs           41. Current error: 0.0916148424. Bit fail 60000.
Epochs           42. Current error: 0.0916129127. Bit fail 60000.
Epochs           43. Current error: 0.0916048363. Bit fail 60000.
Epochs           44. Current error: 0.0916117281. Bit fail 60000.
Epochs           45. Current error: 0.0916144177. Bit fail 60000.
Epochs           46. Current error: 0.0916148126. Bit fail 60000.
Epochs           47. Current error: 0.0916155279. Bit fail 60000.
Epochs           48. Current error: 0.0916143507. Bit fail 60000.
Epochs           49. Current error: 0.0916101485. Bit fail 60000.
Epochs           50. Current error: 0.0916150659. Bit fail 60000.
Epochs           51. Current error: 0.0916146412. Bit fail 60000.
Epochs           52. Current error: 0.0916125476. Bit fail 60000.
Epochs           53. Current error: 0.0916180909. Bit fail 60000.
Epochs           54. Current error: 0.0916181430. Bit fail 60000.
Epochs           55. Current error: 0.0916144103. Bit fail 60000.
Epochs           56. Current error: 0.0916131064. Bit fail 60000.
Epochs           57. Current error: 0.0916122571. Bit fail 60000.
Epochs           58. Current error: 0.0916180834. Bit fail 60000.
Epochs           59. Current error: 0.0916128531. Bit fail 60000.
Epochs           60. Current error: 0.0916142091. Bit fail 60000.
Epochs           61. Current error: 0.0916122645. Bit fail 60000.
Epochs           62. Current error: 0.0916122347. Bit fail 60000.
Epochs           63. Current error: 0.0916180909. Bit fail 60000.
Epochs           64. Current error: 0.0916128531. Bit fail 60000.
Epochs           65. Current error: 0.0916143581. Bit fail 60000.
Epochs           66. Current error: 0.0916137844. Bit fail 60000.
Epochs           67. Current error: 0.0916123539. Bit fail 60000.
Epochs           68. Current error: 0.0916181207. Bit fail 60000.
Epochs           69. Current error: 0.0916123614. Bit fail 60000.
Epochs           70. Current error: 0.0916128382. Bit fail 60000.
Epochs           71. Current error: 0.0916141644. Bit fail 60000.
Epochs           72. Current error: 0.0916258693. Bit fail 60008.
Epochs           73. Current error: 0.0916865841. Bit fail 60040.
Epochs           74. Current error: 0.0917541236. Bit fail 60080.
Epochs           75. Current error: 0.0918507278. Bit fail 60136.
Epochs           76. Current error: 0.0920538455. Bit fail 60256.
Epochs           77. Current error: 0.0924452990. Bit fail 60488.
Epochs           78. Current error: 0.0931103975. Bit fail 60880.
Epochs           79. Current error: 0.0939499289. Bit fail 61464.
Epochs           80. Current error: 0.0948758274. Bit fail 62000.
Epochs           81. Current error: 0.0955562964. Bit fail 62392.
Epochs           82. Current error: 0.0959474072. Bit fail 62624.
Epochs           83. Current error: 0.0962397158. Bit fail 62800.
Epochs           84. Current error: 0.0967119262. Bit fail 63072.
