Loading data...
Will write to: digits_5000ep_60000ts_3l_20hu_.net
Creating network.
Training network.
Max epochs     5000. Desired error: 0.0049999999.
Epochs            1. Current error: 0.2579807341. Bit fail 600000.
Epochs            2. Current error: 0.2259498984. Bit fail 600000.
Epochs            3. Current error: 0.2010390162. Bit fail 600000.
Epochs            4. Current error: 0.1760070622. Bit fail 600000.
Epochs            5. Current error: 0.1488839090. Bit fail 60000.
Epochs            6. Current error: 0.1266901493. Bit fail 60000.
Epochs            7. Current error: 0.1080034152. Bit fail 60000.
Epochs            8. Current error: 0.0959658101. Bit fail 60000.
Epochs            9. Current error: 0.0909469724. Bit fail 60000.
Epochs           10. Current error: 0.0916915014. Bit fail 60000.
Epochs           11. Current error: 0.0910287723. Bit fail 60000.
Epochs           12. Current error: 0.0921466872. Bit fail 60000.
Epochs           13. Current error: 0.0932132825. Bit fail 60000.
Epochs           14. Current error: 0.0938818455. Bit fail 60000.
Epochs           15. Current error: 0.0926896930. Bit fail 60000.
Epochs           16. Current error: 0.0916547701. Bit fail 60000.
Epochs           17. Current error: 0.0915501788. Bit fail 60000.
Epochs           18. Current error: 0.0920146778. Bit fail 60000.
Epochs           19. Current error: 0.0922888517. Bit fail 60000.
Epochs           20. Current error: 0.0919581503. Bit fail 60000.
Epochs           21. Current error: 0.0918720290. Bit fail 60000.
Epochs           22. Current error: 0.0915704295. Bit fail 60000.
Epochs           23. Current error: 0.0917584375. Bit fail 60000.
Epochs           24. Current error: 0.0917300060. Bit fail 60000.
Epochs           25. Current error: 0.0917743891. Bit fail 60000.
Epochs           26. Current error: 0.0915334001. Bit fail 60000.
Epochs           27. Current error: 0.0915133804. Bit fail 60000.
Epochs           28. Current error: 0.0916171968. Bit fail 60000.
Epochs           29. Current error: 0.0915763751. Bit fail 60000.
Epochs           30. Current error: 0.0916986689. Bit fail 60000.
Epochs           31. Current error: 0.0916208774. Bit fail 60000.
Epochs           32. Current error: 0.0916024894. Bit fail 60000.
Epochs           33. Current error: 0.0915324539. Bit fail 60000.
Epochs           34. Current error: 0.0915054977. Bit fail 60000.
Epochs           35. Current error: 0.0916161165. Bit fail 60000.
Epochs           36. Current error: 0.0916156843. Bit fail 60000.
Epochs           37. Current error: 0.0915986449. Bit fail 60000.
Epochs           38. Current error: 0.0914821923. Bit fail 60000.
Epochs           39. Current error: 0.0914891958. Bit fail 60000.
Epochs           40. Current error: 0.0916140676. Bit fail 60000.
Epochs           41. Current error: 0.0915929526. Bit fail 60000.
Epochs           42. Current error: 0.0916089863. Bit fail 60000.
Epochs           43. Current error: 0.0916160867. Bit fail 60000.
Epochs           44. Current error: 0.0916181058. Bit fail 60000.
Epochs           45. Current error: 0.0916174576. Bit fail 60000.
Epochs           46. Current error: 0.0916085914. Bit fail 60000.
Epochs           47. Current error: 0.0916112438. Bit fail 60000.
Epochs           48. Current error: 0.0916125551. Bit fail 60000.
Epochs           49. Current error: 0.0916178226. Bit fail 60000.
Epochs           50. Current error: 0.0916144922. Bit fail 60000.
Epochs           51. Current error: 0.0916181654. Bit fail 60000.
Epochs           52. Current error: 0.0916139632. Bit fail 60000.
Epochs           53. Current error: 0.0916191041. Bit fail 60000.
Epochs           54. Current error: 0.0916175619. Bit fail 60000.
Epochs           55. Current error: 0.0916124135. Bit fail 60000.
Epochs           56. Current error: 0.0916135013. Bit fail 60000.
Epochs           57. Current error: 0.0916143805. Bit fail 60000.
Epochs           58. Current error: 0.0916142464. Bit fail 60000.
Epochs           59. Current error: 0.0916126296. Bit fail 60000.
Epochs           60. Current error: 0.0916176438. Bit fail 60000.
Epochs           61. Current error: 0.0916123316. Bit fail 60000.
Epochs           62. Current error: 0.0916128382. Bit fail 60000.
Epochs           63. Current error: 0.0916142464. Bit fail 60000.
Epochs           64. Current error: 0.0916396454. Bit fail 60016.
Epochs           65. Current error: 0.0916464478. Bit fail 60016.
Epochs           66. Current error: 0.0916464701. Bit fail 60016.
Epochs           67. Current error: 0.0916873217. Bit fail 60040.
Epochs           68. Current error: 0.0917023197. Bit fail 60048.
Epochs           69. Current error: 0.0917156935. Bit fail 60056.
Epochs           70. Current error: 0.0918242484. Bit fail 60120.
Epochs           71. Current error: 0.0919589028. Bit fail 60200.
Epochs           72. Current error: 0.0921552628. Bit fail 60312.
Epochs           73. Current error: 0.0926199257. Bit fail 60584.
Epochs           74. Current error: 0.0934974253. Bit fail 61096.
Epochs           75. Current error: 0.0945649967. Bit fail 61728.
Epochs           76. Current error: 0.0953529403. Bit fail 62280.
Epochs           77. Current error: 0.0963888392. Bit fail 62904.
Epochs           78. Current error: 0.0974746272. Bit fail 63536.
Epochs           79. Current error: 0.0980845988. Bit fail 63896.
Epochs           80. Current error: 0.0981562361. Bit fail 63936.
Epochs           81. Current error: 0.0987836495. Bit fail 64312.
