          0     1     2     3     4     5     6     7     8     9 
    0   889     0    10    11    11    29    22     3     3     2 
    1     0   945    25    39     0     7     9     0    99    11 
    2    22     0   786   105    12     1    66    14    23     3 
    3     8     0    45   862     5    17    12    24    12    25 
    4     2     1    14     5   794     9    23     2     7   125 
    5    35     0    21   143    49   551    28    13    13    39 
    6    28     3    28     1    24    12   859     0     2     1 
    7     2     1    20    19    16     0     3   893     6    68 
    8    36     2    38   105    76   124    21    22   467    83 
    9     8     0     3    22   143     5     7    74     1   746 
